id,name,about,name_trans,about_trans
S_ZZUX,郑州大学,郑州大学（Zhengzhou University），简称“郑大”，是中华人民共和国教育部与河南省人民政府共建全国重点大学，首批国家“双一流”世界一流大学、“211工程”、中西部“一省一校”重点建设高校、“海外高层次人才引进计划”、“中西部高校综合实力提升工程”，“卓越工程师教育培养计划”、“卓越法律人才教育培养计划”、“卓越医生教育培养计划”、“国家建设高水平大学公派研究生项目”、“国家大学生创新性实验计划”入选高校，拥有国家大学科技园，具有自主招生资格。,zhengzhou university,zhengzhou university referred to as zhengzhou university is a national key university jointly established by the ministry of education of the peoples republic of china and the peoples government of henan province it is one of the first batch of national double first class world class universities 211 project and first class in the central and western regions provincial first school key construction universities overseas high level talent introduction plan central and western universities comprehensive strength improvement project excellent engineer education and training plan excellent legal talent education and training plan excellent doctor education and training plan  nationally sponsored postgraduate program for building high level universities and national college student innovative experimental plan were selected as universities it has a national university science and technology park and has independent enrollment qualifications
S_ZUEL,中南财经政法大学,中南财经政法大学（Zhongnan University of Economics and Law）是中华人民共和国教育部直属的一所以经济学、法学、管理学为主干，兼涵哲学、文学、史学、理学、工学、艺术学等九大学科门类的全国重点大学，是国家“211工程”、“985工程优势学科创新平台”、“双一流”世界一流学科重点建设院校。,zhongnan university of economics and law,zhongnan university of economics and law zhongnan university of economics and law is a university directly under the ministry of education of the peoples republic of china it focuses on economics law and management and also covers nine major disciplines including philosophy literature history science engineering and art it is a national key university in the category of 211 project 985 project advantageous discipline innovation platform and a double first class world class discipline key construction institution
S_nix,美国国家仪器公司,"美国国家仪器公司(NI)帮助测试、控制、设计领域的工程师与科学家解决了从设计、原型到发布过程中所遇到的种种挑战。通过现成可用的软件，如LabVIEW, 以及高性价比的模块化硬件，NI帮助各领域的工程师不断创新，在缩短产品问世时间的同时有效降低开发成本。",national instruments corporation,national instruments ni helps engineers and scientists in the fields of testing control and design solve various challenges encountered in the process from design prototype to release through ready to use software such as labview and cost effective modular hardware ni helps engineers in various fields continue to innovate shortening product launch time while effectively reducing development costs
S_XJTU,西安交通大学,西安交通大学（Xi'an Jiaotong University）简称“西安交大”，位于古都西安，是中华人民共和国教育部直属全国重点综合性研究型大学，是国家“七五”、“八五”首批重点建设高校之一，“211工程”首批重点建设的七所大学之一，“985工程”首批重点建设的九所高校之一，“双一流”战略的36所一流大学A类建设高校之一,xi'an jiaotong university,xian jiaotong university referred to as xian jiaotong university is located in the ancient capital of xian it is a national key comprehensive research university directly under the ministry of education of the peoples republic of china it is one of the first batch of key construction projects in the countrys seventh five year plan and eighth five year plan one of the universities one of the seven universities in the first batch of key construction projects of the 211 project one of the nine universities in the first batch of key projects of the 985 project and one of the 36 first class universities in the double first class strategy
S_HIT,哈尔滨工业大学,哈尔滨工业大学（Harbin Institute of Technology）简称哈工大（HIT），是中华人民共和国工业和信息化部直属、中央直管副部级建制的全国重点大学，位列双一流、211工程、985工程。,harbin institute of technology,harbin institute of technology referred to as harbin institute of technology hit is a national key university directly under the ministry of industry and information technology of the peoples republic of china and directly managed by the central government at the deputy ministerial level it ranks among the double first class 211 project and 985 project
S_WUST,武汉科技大学,"武汉科技大学是国家""中西部高校基础能力建设工程""100所重点建设大学之一，入选湖北省“双一流”建设高校，是卓越工程师教育培养计划大学，是教育部本科教育评估优秀高校，湖北省省属重点综合性大学，拥有湖北省属高校第一个国家重点实验室，第一个国家工程研究中心。""",wuhan university of science and technology,wuhan university of science and technology is one of the 100 key universities in the national basic capacity building project for central and western universities it has been selected as a double first class construction university in hubei province it is an outstanding engineer education training program university and an outstanding university in the undergraduate education evaluation of the ministry of education hubei it is a provincial key comprehensive university and has the first national key laboratory and the first national engineering research center among hubei provincial universities 
S_JNUX,暨南大学,"暨南大学（Jinan University），简称暨大（JNU），是中国第一所由国家创办的华侨学府，是中央部属高校，直属”国务院侨务办公室“领导，被誉为“中国第一侨校”。学校是国家“211工程”、""""985平台“重点建设大学，入选国家“111计划”、“2011计划” 、教育部“卓越医生教育培养计划”、“卓越法律人才教育培养计划”、教育部人文社会科学重点研究基地、国家建设高水平大学公派研究生项目，是教育部、国侨办、广东省三方签约重点共建大学，是我国改革开放以来最早开展学位与研究生教育的高校之一，设有研究生院，具有推荐免试研究生资格。",jinan university,jinan university referred to as jnu is chinas first overseas chinese institution founded by the state it is a university affiliated to the central government and directly under the leadership of the overseas chinese affairs office of the state council it is known as chinas no 1 overseas chinese school the school is a key university in the national 211 project and 985 platform and has been selected into the national 111 plan 2011 plan the ministry of educations excellent doctor education and training plan excellent legal talent education and training plan the ministry of education it is a key research base for humanities and social sciences and a publicly sponsored postgraduate program for national high level universities it is a key university jointly built by the ministry of education the overseas chinese affairs office and guangdong province it is one of the earliest universities to carry out degree and postgraduate education since my countrys reform and opening up there is a graduate school with recommended postgraduate qualifications exempt from examination
S_FUDANx,复旦大学,复旦大学（Fudan University），简称“复旦”，位于中国上海，由中华人民共和国教育部直属，中央直管副部级建制，位列985工程、211工程、双一流A类，入选“珠峰计划”、“111计划”、“2011计划”、“卓越医生教育培养计划”，为“九校联盟”成员、中国大学校长联谊会成员、东亚研究型大学协会成员、环太平洋大学协会成员，是一所世界知名、国内顶尖的全国重点大学。,fudan university,fudan university referred to as fudan is located in shanghai china it is directly under the ministry of education of the peoples republic of china and directly managed by the central government at the deputy ministerial level it ranks among the 985 project 211 project double first class category a and was selected for the everest plan  111 plan 2011 plan excellent doctor education and training plan is a member of the nine university alliance a member of the chinese university presidents association a member of the association of east asian research universities and a member of the association of pacific rim universities a world renowned and domestic top national key university
S_MIT,麻省理工学院,麻省理工学院（Massachusetts Institute of Technology），简称“麻省理工”（MIT），位于美国马萨诸塞州波士顿都市区剑桥市，主校区依查尔斯河而建，是世界著名私立研究型大学。麻省理工学院创立于1861年，早期侧重应用科学及工程学，在第二次世界大战后，麻省理工学院倚靠美国国防科技的研发需要而迅速崛起。在二战和冷战期间，麻省理工学院的研究人员对计算机、雷达以及惯性导航系统等科技发展作出了重要贡献。,mit,massachusetts institute of technology mit referred to as mit is located in cambridge boston massachusetts usa its main campus is built along the charles river it is a world renowned private research university founded in 1861 mit focused on applied science and engineering in its early days after world war ii mit rose rapidly to rely on the research and development needs of us defense technology during world war ii and the cold war mit researchers made important contributions to the development of computers radar and inertial navigation systems
S_MIL,陆军边海防学院,中国人民解放军边防学院是在中国人民解放军西安陆军学院的基础上改建的，2011年9月8日上午，中国人民解放军边防学院成立大会在西安隆重举行，该院是全军第一所边防学院,army border and coastal defense academy,the chinese peoples liberation army border defense academy was rebuilt on the basis of the chinese peoples liberation army xian army academy on the morning of september 8 2011 the founding ceremony of the chinese peoples liberation army border defense academy was grandly held in xian the academy is the first border defense academy in the entire military
S_NUDT,国防科技大学,中国人民解放军国防科技大学（National University of Defense Technology），简称“国防科技大学”，由中国共产党中央军事委员会直属，位列第一个五年计划国家156项重点建设工程、211工程、985工程、双一流、军队“2110工程”，为中共中央1959年确定的全国20所重点大学之一、国务院首批批准有权授予硕士及博士学位的院校、全国首批试办研究生院的院校。,national university of defense technology,national university of defense technology national university of defense technology of the chinese peoples liberation army referred to as national university of defense technology is directly under the central military commission of the communist party of china it ranks among the 156 national key construction projects in the first five year plan the 211 project the 985 project it is one of the 20 key universities in the country identified by the central committee of the communist party of china in 1959 as well as the 2110 project of the military it is one of the first universities approved by the state council to grant masters and doctoral degrees and one of the first universities in the country to pilot a graduate school
S_ZNDX,中南大学,中南大学（Central South University）简称“中南”，位于湖南省长沙市，是中华人民共和国教育部直属、中央直管副部级建制的全国重点大学，位列国家“世界一流大学建设高校A类“、“985工程”、“211工程”，入选国家“2011计划”牵头高校、“111计划”、卓越工程师教育培养计划、卓越医生教育培养计划、卓越法律人才教育培养计划、国家级大学生创新创业训练计划、国家建设高水平大学公派研究生项目、新工科研究与实践项目、中国政府奖学金来华留学生接收院校、全国深化创新创业教育改革示范高校、全国毕业生就业典型经验高校、全国创新创业典型经验高校、大众创业万众创新示范基地、国家创新人才培养示范基地、学位授权自主审核单位，全国首批试点开展八年制医学教育（本博连读）的五所大学之一，全国第一所为军队培养现役军官指技合一硕士研究生的高校，中国百强企业最欢迎的十所大学之一，中国-中亚国家大学联盟、中俄交通大学联盟重要成员。,central south university,central south university referred to as central south is located in changsha city hunan province it is a national key university directly under the ministry of education of the peoples republic of china and directly under the central government at the deputy ministerial level it ranks among the national world class university construction universities category a  985 project 211 project selected as a leading university in the national 2011 plan 111 plan excellent engineer education and training plan excellent doctor education and training plan excellent legal talent education and training plan national college student innovation and entrepreneurship training plan national construction of high level university publicly sponsored postgraduate projects new engineering research and practice projects chinese government scholarships to receive international students in china national model universities for deepening innovation and entrepreneurship education reform national graduate employment typical experience universities national innovation and entrepreneurship typical experience university mass entrepreneurship and innovation demonstration base national innovative talent training demonstration base degree authorization independent review unit one of the first five universities in the country to pilot eight year medical education undergraduate and bachelors degree and the first in the country for the military it is a university that trains active duty military officers to combine masters degrees with technical skills it is one of the ten most popular universities among chinas top 100 companies it is an important member of the china central asian countries university alliance and the china russia jiaotong university alliance
S_SichuanU,四川大学,四川大学（Sichuan University）简称“川大”，由中华人民共和国教育部直属，中央直管副部级建制，国家“双一流”A类世界一流大学，“985工程”、“211工程”重点建设的高水平综合性全国重点大学，入选“2011计划”、“珠峰计划”、“111计划”、“卓越工程师教育培养计划”、“卓越医生教育培养计划”、“海外高层次人才引进计划”，拥有研究生院和研究生自主划线资格。,sichuan university,sichuan university referred to as sichuan university is directly under the ministry of education of the peoples republic of china and directly managed by the central government at the deputy ministerial level it is a national double first class class a world class university and a key construction project of 985 project and 211 project a high level comprehensive national key university selected into the 2011 plan everest plan 111 plan excellent engineer education and training plan excellent doctor education and training plan and overseas high level talent introduction plan  possesses graduate school and graduate independent qualifications
S_BTBU,北京工商大学,北京工商大学（Beijing Technology and Business University），简称北工商，于1999年6月由北京轻工业学院、北京商学院、机械工业管理干部学院等3所老牌部属院校合并组建而成。北京商学院是新中国成立的第一所商科学校，姚依林、程子华等国家领导人曾兼任学校领导，毛泽东、刘少奇、周恩来、朱德等老一辈党和国家领导人曾亲切接见学校毕业生。北京轻工业学院是新中国成立的第一所轻工高校。合并组建后的北京工商大学是北京市重点建设的多科性大学，是国务院批准的全国首批硕士学位授予单位，是以经、管、工为主，经、管、工、理、文、法、史等学科相互支撑、协调发展的多科性大学。入选国家卓越农林人才教育培养计划、中国政府奖学金来华留学生接收院校。,beijing technology and business university,beijing technology and business university referred to as beijing technology and business university was established in june 1999 by the merger of three well established ministries and colleges including beijing institute of light industry beijing business school and machinery industry management cadre college beijing business school is the first business school established in new china national leaders such as yao yilin and cheng zihua have served as school leaders mao zedong liu shaoqi zhou enlai zhu de and other older generation party and state leaders have cordially received school graduates beijing institute of light industry is the first light industry university established in new china after the merger beijing technology and business university is a key multi disciplinary university in beijing it is among the first batch of masters degree granting units approved by the state council in the country it focuses on economics management engineering economics management engineering science liberal arts and a multidisciplinary university with mutual support and coordinated development of law history and other disciplines selected into the national education and training program for outstanding agricultural and forestry talents and the chinese government scholarship receiving college for international students in china
S_CCI,中国心血管医生创新俱乐部,中国心血管医生创新俱乐部（CCI）是由葛均波院士牵头、心血管介入治疗技术与器械教育部工程研究中心发起，面向全国心血管医生及研究人员的非营利性民间学术组织。,china cardiovascular doctors innovation club,the chinese cardiovascular doctors innovation club cci is a non profit private academic organization led by academician ge junbo and initiated by the engineering research center for cardiovascular interventional technology and devices of the ministry of education it is a non profit academic organization for cardiovascular doctors and researchers across the country
S_dlmu,大连海事大学,大连海事大学（原大连海运学院）是交通运输部所属的全国重点大学，是国家“211工程”重点建设高校、国家“双一流”建设高校，是交通运输部、教育部、原国家海洋局、辽宁省人民政府、大连市人民政府共建高校。学校素有“航海家的摇篮”之称，是中国著名的高等航海学府，是被国际海事组织认定的世界上少数几所“享有国际盛誉”的海事院校之一。是国际海事大学联合会成员。入选高等学校学科创新引智计划、卓越工程师教育培养计划、卓越法律人才教育培养计划、国家建设高水平大学公派研究生项目、中国政府奖学金来华留学生接收院校、国家大学生创新创业训练计划、国家级国际科技合作基地、全国中小学生研学实践教育基地。,dalian maritime university,dalian maritime university formerly dalian maritime university is a national key university affiliated to the ministry of transport it is a national 211 project key construction university and a national double first class construction university it is a member of the ministry of transport the ministry of education the former state oceanic administration the peoples government of liaoning province and the peoples government of dalian city jointly build universities known as the cradle of navigators the school is a famous maritime institution of higher learning in china and one of the few maritime colleges in the world with international reputation recognized by the international maritime organization it is a member of the international federation of maritime universities selected into the university discipline innovation and talent introduction program the outstanding engineer education and training program the outstanding legal talent education and training program the national high level university postgraduate program the chinese government scholarship receiving institution for international students in china the national college student innovation and entrepreneurship training program and the national level international scientific and technological cooperation base and national primary and secondary school students research and practice education base
S_HBPU,湖北理工学院,湖北理工学院（Hubei Polytechnic University）位于湖北省黄石市，是一所经国家教育部批准成立的以工为主，工理结合，工、理、经、管、医、文、教、艺等学科门类协调发展的省属全日制综合性普通本科高等学校，入选“湖北省2011计划”牵头高校。,hubei institute of technology,hubei polytechnic university is located in huangshi city hubei province it is an engineering based university established with the approval of the ministry of education integrating engineering and science and offering disciplines such as engineering science economics management medicine literature education and arts a provincial full time comprehensive general undergraduate higher education institution with coordinated development of categories it was selected as the leading university in the hubei province 2011 plan
S_CMU,首都医科大学,首都医科大学(Capital Medical University)，简称首医大，由北京市人民政府、国家卫生健康委员会、教育部共建院校，是北京市重点高等院校、入选国家“2011计划”牵头高校，国家首批“卓越医生教育培养计划”试点高校、中国政府奖学金来华留学生接收院校、国家建设高水平大学公派研究生项目、国家“特色重点学科项目”建设高校、国家生命科学与技术人才培养基地、北京市“一带一路”国家人才培养基地，京港大学联盟创始成员。,capital medical university,capital medical university referred to as capital medical university is jointly established by the beijing municipal peoples government the national health commission and the ministry of education it is a key higher education institution in beijing and was selected as the leading university in the national 2011 plan it is the first university in the country one of the first batch of pilot universities for the excellent doctor education and training plan a university receiving chinese government scholarships for international students in china a nationally sponsored postgraduate program for high level universities a national characteristic key discipline project university a national life science and technology talent training base beijing the citys one belt and one road national talent training base and a founding member of the beijing hong kong university alliance
S_KMUSTX,昆明理工大学,"昆明理工大学（Kunming University of Science and Technology）简称“昆工”，坐落于云南省省会昆明市，是国家""特色重点学科项目""高校、“中西部高校基础能力建设工程”重点建设高校，入选教育部“卓越工程师教育培养计划”、“国家建设高水平大学公派研究生项目”、“海外高层次人才引进计划”、“优秀本科生国际交流项目”、国家“创新型人才国际合作培养项目”高校；为首批国家创新人才培养示范基地的六所高校之一，首批“全国深化创新创业教育改革示范高校”，依托高校建立国家国际技术转移中心的2所高校之一；是云南省规模最大、办学层次和类别齐全的重点大学，在中国有色金属行业和区域经济社会发展中发挥着重要作用。",kunming university of science and technology,kunming university of science and technology kunming university of science and technology referred to as kunming is located in kunming the capital of yunnan province it is a national characteristic key discipline project university and a central and western university basic capacity building project key construction university it was selected as an education ministry of educations excellent engineer education and training program national high level university publicly sponsored graduate program overseas high level talent introduction program excellent undergraduate international exchange program national innovative talents international cooperation training program universities it is one of the six universities in the first batch of national innovation talent training demonstration bases one of the first batch of national demonstration universities for deepening innovation and entrepreneurship education reform and one of the two universities to establish a national international technology transfer center relying on universities it is the largest and largest university in yunnan province key universities with complete levels and categories of education play an important role in chinas nonferrous metals industry and regional economic and social development
S_KMMC,昆明医科大学,昆明医科大学（Kunming Medical University），简称昆医大，是云南省最大的集教学、医疗、科研为一体的高等医学院校。是中国“中西部高校基础能力建设工程”重点建设高校之一，“卓越医生教育培养计划”试点高校。昆明医科大学历史悠久，办学历史可以追溯到创建于1933年的东陆大学医学专修科，1956年独立建院。2012年，经国家教育部审批，学校正式由昆明医学院更名为昆明医科大学。,kunming medical university,kunming medical university referred to as kunming medical university is the largest medical school in yunnan province that integrates teaching medical care and scientific research it is one of the key universities in chinas basic capacity building project for central and western universities and a pilot university for the excellent doctor education and training plan kunming medical university has a long history and its history of running the school can be traced back to the department of medicine of donglu university which was founded in 1933 and was established independently in 1956 in 2012 with the approval of the ministry of education the school was officially renamed from kunming medical college to kunming medical university
S_HEU,哈尔滨工程大学,哈尔滨工程大学，前身为新中国第一所高等军事技术学府“中国人民解放军军事工程学院”（世称“哈军工”），陈赓大将为首任校长，中央军委直属正大军区级（正部级）高校，1966年文革爆发，哈军工退出军队序列，更名为哈尔滨工程学院，1970年文革期间被分拆，以海军系、原子系、导弹系战术导弹分部全建制和其它各系部分专业和教师为基础重新组建哈尔滨船舶工程学院，1994年更名为哈尔滨工程大学。学校是国家“一五计划”唯一重点建设大学  ，国家首批20所全国重点大学，首批211工程  、985平台院校，56所研究生院之一，国家首批“双一流”世界一流学科建设高校，入选国家卓越工程师教育培养计划、21世纪人才强军计划、国家建设高水平大学公派研究生项目，学校由国防科工委、海军、教育部、黑龙江省四方重点共建。学校原隶属于国防科工委，现隶属于工信部（由原国防科工委、信息产业部等合并而成），是国防七校、东北五校之一，是中国三海一核领域最大的高层次人才培养基地和重要的科学研究基地 ，是被国家授予“航母建设突出贡献奖” 的唯一获奖院校，2017年学校科研经费到款突破13亿元 。,harbin engineering university,harbin engineering university formerly known as the chinese peoples liberation army military engineering college known as harbin military engineering in the world the first higher military technical institution in new china with general chen geng as its first president is a zhengda military region level ministerial level university directly under the central military commission in 1966 when the cultural revolution broke out harbin military industry withdrew from the military and was renamed harbin engineering institute during the cultural revolution in 1970 it was split up into the full establishment of the naval department the atomic department and the tactical missile division of the missile department as well as some majors and teachers from other departments the foundation was reorganized into harbin ship engineering college which was renamed harbin engineering university in 1994 the school is the only key construction university in the countrys first five year plan the first batch of 20 national key universities the first batch of 211 project 985 platform colleges one of the 56 graduate schools and the first batch of double first class world class disciplines in the country the university has been selected into the national outstanding engineer education and training plan the 21st century talents to strengthen the army plan and the national high level university publicly sponsored postgraduate project the school is jointly built by the commission of science technology and industry for national defense the navy the ministry of education and heilongjiang province the school was originally affiliated to the commission of science technology and industry for national defense and is now affiliated to the ministry of industry and information technology formed by the merger of the former commission of science technology and industry for national defense and the ministry of information industry it is one of the seven national defense schools and the five schools in northeast china it is the largest in chinas three seas and one nuclear field it is a high level talent training base and an important scientific research base it is the only award winning institution awarded the outstanding contribution award for aircraft carrier construction by the state in 2017 the schools scientific research funding exceeded 13 billion yuan
