id,name,about,id_trans,name_trans,about_trans
T_张博,张博,张博，西安建筑科技大学艺术学院工业设计系讲师，主要从事工业设计、设计思维与创新方法方面的研究和教学工作。,t_zhang bo,zhang bo,zhang bo is a lecturer in the department of industrial design college of art xian university of architecture and technology he is mainly engaged in research and teaching in industrial design design thinking and innovation methods
T_张卓,张卓,张卓，北京师范大学体育学院讲师，北京师范大学运动训练专业硕士。健美操国际级运动健将／体操国家级运动健将国家级运动健将。北京师范大学健美操／啦啦操高水平代表队主教练。,t_zhang zhuo,zhang zhuo,zhang zhuo is a lecturer at the school of physical education of beijing normal university and holds a masters degree in sports training from beijing normal university international level athletes in aerobicsnational level athletes in gymnastics national level athletes in gymnastics head coach of the high level aerobicscheerleading team of beijing normal university
T_张华,张华,张华，女，香港城市大学获得博士学位。2012年至今广东财经大学讲师。2013年6月-8月 访问香港城市城市大学，任科研助理。2013年10月-2014年8月 访问香港浸会大学，任高级科研助理。研究兴趣：企业社会责任、网上消费者行为、新媒体营销。主持国家课题，发表多篇论文。,t_zhang hua,zhang hua,zhang hua female received a doctorate from city university of hong kong lecturer at guangdong university of finance and economics since 2012 from june to august 2013 he visited city university of hong kong and served as a research assistant from october 2013 to august 2014 he visited hong kong baptist university and served as a senior scientific research assistant research interests corporate social responsibility online consumer behavior new media marketing hosted national projects and published many papers
T_黄霞,黄霞,黄霞，博士，清华大学环境学院教授、环境模拟与污染控制国家重点联合实验室主任，长江学者奖励计划特聘教授，国家杰出青年基金获得者。国家精品课程《水处理工程》负责人、国家精品课程《环境工程原理》主讲教师。主要从事膜法水处理技术、生物电化学水处理技术、污水资源化等方面的研究工作。主著或参编著作/教材4部。曾获宝钢优秀教师特等奖、北京市优秀教师、北京市优秀教学成果一等奖、清华大学教学成果特等奖各1次，国家科技进步二等奖2次，高等学校科技进步奖等省部级一等奖5次，国际期刊Environmental Science and Technology 2009年度十佳论文奖。,t_huang xia,huang xia,huang xia phd is a professor at the school of environment tsinghua university director of the national key joint laboratory of environmental simulation and pollution control a distinguished professor of the yangtze river scholars award program and a winner of the national outstanding youth fund he is the person in charge of the national excellent course water treatment engineering and the lecturer of the national excellent course principles of environmental engineering mainly engaged in research work on membrane water treatment technology bioelectrochemical water treatment technology sewage resource utilization etc main author or co editor of 4 bookstextbooks he has won the baosteel outstanding teacher award the beijing outstanding teacher award the beijing outstanding teaching achievement first prize the tsinghua university teaching achievement special award once the national science and technology progress award twice and the higher education science and technology progress award at the provincial and ministerial level won the first prize 5 times and the top ten paper award of 2009 in the international journal environmental science and technology
T_佟建荣,佟建荣,佟建荣，女，法学博士，宁夏大学西夏学研究院副教授，硕士生导师。主要从事西夏学、黑水城文献研究。主讲《中国民族史专题》《黑水城文献专题》等课程。,t_tong jianrong,tong jianrong,tong jianrong female doctor of laws associate professor at the institute of xixia studies ningxia university and masters tutor mainly engaged in research on xixia studies and heishui city literature lectures on courses such as special topics in chinese ethnic history and special topics in blackwater city documents
T_石璞玉,石璞玉,博士，西安交通大学第一附属医院讲师、助理研究员、住院医师。美国癌症协会（AACR）会员、陕西省医师协会会员。先后主持国家自然科学基金青年项目、陕西省国际科技合作与交流计划项目、中央高校基本科研业务费、院级科研课题。2018年获得中华医学会呼吸病学年会-2018“高影响力呼吸学术论文奖”、美中抗癌协会-亚洲癌症研究基金会青年学者奖。发表SCI论文8篇，其中第一作者2篇，累计影响因子15.994；熟练掌握呼吸系统常见病诊断与治疗。承担本科生、留学生《内科学》、《诊断学》教学，参与留学生临床带教项目1项，发表教学研究研究论文1篇。,t_shi puyu,shi puyu,phd lecturer assistant researcher and resident physician at the first affiliated hospital of xian jiaotong university member of the american cancer society aacr and shaanxi physician association he has successively presided over the youth project of the national natural science foundation the shaanxi provincial international science and technology cooperation and exchange plan project the basic scientific research business funds for central universities and college level scientific research projects in 2018 he won the 2018 high impact respiratory academic paper award from the respiratory diseases annual meeting of the chinese medical association and the us china anti cancer association asian cancer research foundation young scholar award published 8 sci papers including 2 as first author with a cumulative impact factor of 15994 proficient in the diagnosis and treatment of common respiratory system diseases responsible for the teaching of internal medicine and diagnostics for undergraduates and foreign students participated in 1 clinical teaching project for foreign students and published 1 research paper on teaching research
T_王建龙,王建龙,清华大学，工学博士，国家杰出科学基金获得者，教育部长江学者特聘教授。清华大学核能与新能源技术研究院教授，博士生导师。在“核科学与技术”、“环境科学与工程”两个一级学科招收博士研究生。长期从事水污染控制、核废物处理处置等方面的教学和科研工作。为研究生教授《辐射分子生物学》、《辐射技术在环境保护中的应用》、《环境生物技术》等课程，获北京市优秀教师、清华大学良师益友等称号。,t_wang jianlong,wang jianlong,tsinghua university phd in engineering winner of the national outstanding science fund yangtze river scholar distinguished professor of the ministry of education professor and doctoral supervisor at the institute of nuclear energy and new energy technology tsinghua university doctoral students are recruited in the two first level disciplines of nuclear science and technology and environmental science and engineering he has long been engaged in teaching and scientific research in water pollution control nuclear waste treatment and disposal etc he teaches courses such as radiation molecular biology application of radiation technology in environmental protection and environmental biotechnology to graduate students and has been awarded titles such as beijing outstanding teacher and tsinghua university mentor and helper
T_卢中铭,卢中铭,博士，讲师。2010年毕业于北京大学城市与环境学院，获得环境科学和经济学双学士学位。2015年毕业于美国佐治亚理工大学（Georgia Institute of Technology）土木与环境工程学院，获得环境工程博士学位。从2015年3月，在美国佐治亚理工大学布鲁克林可持续系统研究所开展博士后研究工作。2017年6月进入北京师范大学环境学院。研究领域主要集中在可持续与韧性城市基础设施设计、分析与管理，结合工程技术、计算与信息分析技术、系统模拟分析和社会经济公共政策的多学科知识，解决全球气候变化和资源短缺下的城市可持续发展问题与挑战。教授课程包括可持续工程技术、生态工程、恢复生态和环境系统分析。,t_lu zhongming,lu zhongming,phd lecturer in 2010 he graduated from the school of urban and environmental studies of peking university with a double bachelors degree in environmental science and economics he graduated from the school of civil and environmental engineering at the georgia institute of technology in the united states in 2015 and received a doctorate in environmental engineering since march 2015 he has been conducting postdoctoral research at the brooklyn institute of sustainable systems at georgia tech university in the united states entered the school of environment of beijing normal university in june 2017 the research field mainly focuses on the design analysis and management of sustainable and resilient urban infrastructure combining multi disciplinary knowledge of engineering technology computing and information analysis technology system simulation analysis and social and economic public policies to solve the problem of global climate change and resource shortage urban sustainable development issues and challenges courses taught include sustainable engineering technology ecological engineering restoration ecology and environmental systems analysis
T_贾玺增,贾玺增,中国服饰史学者，搜狐时尚评论员，中国博物馆协会服装专业委员会理事，中国吐蕃学会染织服饰专业委员会委员，清华大学•美术学院•染织服装艺术设计系教师，主持完成中国社科艺术基金“中国古代首服史研究”等多项国家级项目，出版教育部“十三五”规划教材《中外服装史》、“十一五”规划教材《中国服饰艺术史》，专著《四季花与节令物》、《中国最美服装》、《粉黛罗裳》等多部著作，曾在《紫禁城》、《敦煌研究》、《装饰》等刊物发表论文数十篇，陆川导演《王的盛宴》、台湾汉唐乐舞团《殷商王•后》等电影、歌舞剧、记录片服装顾问，“中国冠帽博物馆”、“中国男装博物馆”等学术顾问，参与完成2008年北京奥运会运输司机制服、2014年北京亚太经合组织(APEC)领导人参会服装等设计项目。,t_jia xizeng,jia xizeng,scholar of chinese costume history sohu fashion commentator director of the clothing professional committee of the china museum association member of the dyeing and weaving clothing professional committee of the china tubo society teacher of the department of dyeing and clothing art and design of the academy of fine arts of tsinghua university and presided over the completion of the china social science art fund research on the history of ancient chinese clothing and many other national level projects published the ministry of educations 13th five year plan textbook history of chinese and foreign clothing the 11th five year plan textbook history of chinese costume art and the monograph flowers of the four seasons and festival objects chinas most beautiful clothing pink daisy luo shang and many other works he has published dozens of papers in forbidden city dunhuang studies decoration and other publications lu chuan directed the kings feast costume consultant for films musicals documentaries and other films musicals and documentaries by taiwans han and tang ensemble and dance troupe the queen of shang dynasty academic consultant for china hat museum and china mens clothing museum participated in the completion of the transport driver uniforms for the 2008 beijing olympics leaders of the asia pacific economic cooperation apec in beijing participated in clothing and other design projects
T_耿华,耿华,博士，副教授。2008年于清华大学自动化系获博士学位，2008-2010，在加拿大Ryerson大学LEDAR实验室从事博士后研究工作，2010至今，在清华大学自动化系工作，主讲《模拟电子技术基础》。主要从事电力电子及新能源发电技术的相关研究，在本领域的权威性杂志发表学术论文60余篇，获中国电源学会2013“青年奖”，入选2013北京高等学校青年英才计划。,t_geng hua,geng hua,phd associate professor he received his phd from the department of automation of tsinghua university in 2008 from 2008 to 2010 he worked as a postdoctoral researcher in the ledar laboratory of ryerson university in canada from 2010 to present he works in the department of automation of tsinghua university and lectures on fundamentals of analog electronic technology mainly engaged in research related to power electronics and new energy power generation technology he has published more than 60 academic papers in authoritative magazines in this field he won the 2013 youth award of the china power supply society and was selected into the 2013 beijing higher education youth talent program
T_王翔,王翔,王翔，男，1977年生，湖南浏阳人，法学博士。中南大学第二届学术委员会委员，中南大学马克思主义学院副院长、青年科协主席、教授委员会委员，副教授，硕士生导师。全国高校优秀中青年思想政治理论课教师择优资助计划培养对象（教育部），湖南省高校青年骨干教师，兼任湖南省“中国近现代史纲要”课教学研究会常务副会长，中南大学青年科协副秘书长、中南大学文化创新与社会治理战略研究小组成员、中南大学统战理论研究小组成员。2000年从吉林大学本科毕业，2003年获吉林大学法学硕士学位，2008年获华中师范大学法学博士学位。2003年开始在中南大学担任思想政治理论课教师，一直致力于中国近现代史、中共党史教学与科研工作。曾获全国高校思想政治理论课教学展示活动三等奖、湖南省高校思想政治理论课教学改革研讨会征文一等奖、湖南省思想政治理论课“精彩一课”二等奖、湖南省第十届哲学社会科学优秀成果三等奖、中南大学高等教育教学成果二等奖。主持“中国近现代史纲要课教学中的党史党情教育问题研究”、 “网络舆论形成与大学生德育引导研究”等省部级课题16项；发表学术论文50余篇；出版著作3部。主要代表作有《中国共产党的执政伦理建设》（中南大学出版社）、《党的执政理念的创新》等。,t_wang xiang,wang xiang,wang xiang male born in 1977 in liuyang hunan holds a doctorate in law member of the second academic committee of central south university deputy dean of the school of marxism central south university chairman of the youth association for science and technology member of the professors committee associate professor and masters tutor the target of the training program for outstanding young and middle aged ideological and political theory course teachers in colleges and universities across the country ministry of education young backbone teachers in colleges and universities in hunan province concurrently serving as the executive vice president of the hunan province outline of modern and contemporary history of china course teaching research association and the youth science and technology department of central south university deputy secretary general of the association a member of the cultural innovation and social governance strategy research group of central south university and a member of the united front theory research group of central south university he graduated from jilin university with a bachelors degree in 2000 received a masters degree in law from jilin university in 2003 and a doctorate in law from central china normal university in 2008 in 2003 he began to serve as a teacher of ideological and political theory courses at central south university and has been committed to the teaching and scientific research of modern chinese history and the history of the communist party of china won the third prize in the national ideological and political theory course teaching exhibition in colleges and universities the first prize in the essay competition seminar of hunan province college ideological and political theory course teaching reform the second prize in hunan provinces wonderful lesson in ideological and political theory course and the tenth prize in hunan province the third prize for outstanding achievements in philosophy and social sciences and the second prize for higher education teaching achievements of central south university he has presided over 16 provincial and ministerial level projects such as research on party history and party situation education issues in the teaching of modern and modern history outline courses in china and research on the formation of online public opinion and the guidance of college students moral education published more than 50 academic papers and 3 books his main representative works include the construction of governing ethics of the communist party of china central south university press innovation of the partys governing concept etc
T_黄文均,黄文均,四川工商职业技术学院轻工工程系讲师、硕士。主讲《印刷色彩》《印刷色彩管理》和《印刷质量检测控制》等课程。主要研究方向：印刷色彩应用技术及管理技术。,t_huang wenjun,huang wenjun,lecturer and master of light industry engineering department of sichuan vocational and technical college of industry and commerce lectures on courses such as printing color printing color management and printing quality inspection and control main research directions printing color application technology and management technology
T_刘金荣,刘金荣,"刘金荣，男，1967出生，甘肃张掖人。博士，教授，博士研究生导师。入选国家百千万人才工程，被授予“有突出贡献中青年专家”荣誉称号。甘肃省科技领军人才，甘肃省首批创新创业导师，教育部全国万名优秀创新创业导师人才库首批入库导师，中国草学会草坪专业委员会副理事长, 《生态学报》，《草地学报》，《应用生态学报》，《草业科学》等杂志的审稿人。多年来主要致力于草坪建植与养护、草坪绿地规划设计与工程、室内花卉栽培与布景设置、生态环境治理、盐碱地改良与治理等方面的教学研究工作。联系方式：liujinr@lzu.edu.cn",t_liu jinrong,liu jinrong,liu jinrong male born in 1967 is from zhangye gansu doctor professor doctoral supervisor selected into the national hundred thousand talents project and awarded the honorary title of young and middle aged experts with outstanding contributions leading scientific and technological talents in gansu province the first batch of innovation and entrepreneurship mentors in gansu province the first batch of mentors included in the ministry of educations national talent pool of 10000 outstanding innovation and entrepreneurship mentors vice chairman of the turfgrass professional committee of the chinese grassland society journal of ecology journal of grassland  reviewer of journal of applied ecology grass science and other magazines over the years he has been mainly engaged in teaching and research in lawn construction and maintenance lawn and green space planning design and engineering indoor flower cultivation and scenery setting ecological environment management saline alkali land improvement and management etc contact information liujinrlzueducn
T_贾连芹,贾连芹,贾连芹，女，1978年11月出生。2006年6月毕业于南开大学通信与信息系统专业。2006年7月到山东商业职业技术学院担任电子信息类专业教师，主讲的专业课程有：电路分析与实践、模拟电子技术、专业英语、电子产品设计与开发、专业知识导论、基层主管综合训练、微控制器应用、电视机检测与维修、平板电视技术、电子产品设计与制作、智能设备应用开发等。近几年获得省级教研成果二等奖2项，省级教学大赛一等奖1项，国家级教学大赛一等奖1项，主讲省级精品课程3门，全国电子设计大赛优秀指导教师，主要完成省级教研项目4项，发表论文多篇，其中Ei收录两篇。,t_jia lianqin,jia lianqin,jia lianqin female born in november 1978 graduated from nankai university in june 2006 majoring in communications and information systems in july 2006 he worked as an electronic information professional teacher at shandong commercial vocational and technical college the professional courses he taught include circuit analysis and practice analog electronic technology professional english electronic product design and development introduction to professional knowledge and comprehensive training for grassroots supervisors microcontroller application tv inspection and repair flat panel tv technology electronic product design and production smart device application development etc in recent years he has won 2 second prizes for provincial teaching and research achievements 1 first prize in provincial teaching competitions 1 first prize in national teaching competitions lectured on 3 provincial quality courses and is an outstanding instructor in the national electronic design competition mainly completed 4 provincial teaching and research projects and published many papers two of which were included in ei
T_巩仔鹏,巩仔鹏,"博士，教授，贵州医科大学硕士研究生导师，研究方向为中药药代动力学及其PK-PD结合模型的建立。
2014年7月博士毕业于中国中医科学院中药研究所，获医学博士学位；同年9月进入贵州医科大学贵州省药物制剂重点实验室从事中药药代动力学及其PK-PD（药动学-药效学）结合模型研究的科研工作，同时在贵州医科大学药学院药剂学教研室承担本科生《药剂学》、《生物药剂学与药物动力学》以及研究生《高等生物药剂学与药物动力学》的教学工作；目前已主持科研项目11项（包括主持国家自然科学基金2项、贵州省科技厅项目2项），近5年已发表SCI文章20篇（其中第一和通讯作者9篇），中文核心期刊论文40余篇（第一作者10篇）。",t_gong zaipeng,gong zipeng,"phd professor postgraduate tutor of guizhou medical university research direction is the establishment of pharmacokinetics of traditional chinese medicine and its pk pd binding model
in july 2014 he graduated from the institute of traditional chinese medicine china academy of chinese medical sciences with a doctorate in medicine in september of the same year he entered the guizhou provincial key laboratory of pharmaceutical preparations guizhou medical university engaged in the pharmacokinetics of traditional chinese medicines and their pk pd pharmacokinetics pharmacology efficacy combined with scientific research work on model research and at the same time undertake the undergraduate pharmacology biopharmaceutics and pharmacokinetics and the graduate students advanced biopharmaceutics and pharmacokinetics in the pharmacy teaching and research section of the school of pharmacy guizhou medical university teaching work currently has hosted 11 scientific research projects including 2 national natural science foundation projects and 2 guizhou provincial department of science and technology projects and has published 20 sci articles in the past 5 years including 9 first and corresponding authors chinese more than 40 papers in core journals 10 as first author"
T_韩青,韩青,韩青，毕业于北京体育大学，体育教育训练学硕士研究生。艺术体操国家健将，国家级裁判；健美操国家二级裁判；体育舞蹈国家二级教师；全国大学生健美操艺术体操分会委员；2002-2005年全国艺术体操锦标赛冠军；2005年法国艺术体操世界杯分站赛季军；2005年第十届全国运动会艺术体操比赛季军；曾担任国家艺术体操队青奥组体能教练。,t_han qing,han qing,han qing graduated from beijing sport university with a masters degree in physical education and training national athlete in artistic gymnastics national referee national second level referee in aerobics national second level teacher in sports dance member of the national college student aerobics rhythmic gymnastics branch 2002 2005 national rhythmic gymnastics championship champion 2005 french rhythmic gymnastics world cup branch third place third place in the rhythmic gymnastics competition of the 10th national games in 2005 served as the physical fitness coach of the national rhythmic gymnastics youth olympic team
T_张太红,张太红,张太红，博士，新疆农业大学计算机与信息工程学院教授，硕士生导师，慕课《Python二维游戏编程》主讲教师和负责人。2018年获新疆维吾尔自治区“天山雪松”教学名师。曾获新疆维吾尔自治区教学成果三等奖两次，新疆维吾尔自治区科技成果二等奖两次。,t_zhang taihong,zhang taihong,zhang taihong phd is a professor at the school of computer and information engineering of xinjiang agricultural university a masters tutor and the main teacher and person in charge of the mooc python two dimensional game programming in 2018 he was awarded the tianshan cedar teaching master of the xinjiang uygur autonomous region he has won the third prize of xinjiang uygur autonomous region teaching achievements twice and the second prize of xinjiang uygur autonomous region science and technology achievements twice
T_郭书玲,郭书玲,"郭书玲，讲师， 1997年9月-2001年6月就读于郑州大学化学系，获得学士学位；2001年9月-2004年6月就读于郑州大学化学系，获得有机化学硕士学位；2004年7月至今在河南工业大学化学化工与环境学院工作，先后任助教、讲师。参与国家自然科学基金项目1项，河南省科技攻关项目2项。
先后主讲本科生《有机化学》和《有机化学实验》课程。参编《有机化学实验》教材一部。",t_guo shuling,guo shuling,"guo shuling lecturer studied in the department of chemistry of zhengzhou university from september 1997 to june 2001 and obtained a bachelors degree studied in the department of chemistry of zhengzhou university from september 2001 to june 2004 and obtained a masters degree in organic chemistry july 2004 currently working in the school of chemistry chemical engineering and environment of henan university of technology serving as a teaching assistant and lecturer participated in 1 national natural science foundation project and 2 henan provincial science and technology research projects
he has taught undergraduate courses on organic chemistry and organic chemistry experiments participated in the compilation of the textbook organic chemistry experiments"
