user,course
U_3063638,C_course-v1:TsinghuaX+20240103X+2019_T1
U_8539837,C_course-v1:TsinghuaX+AP000005X+2019_T1
U_6274,C_course-v1:UST+UST001+sp
U_1458718,C_course-v1:MIL+MIL2016001+sp
U_7583510,C_course-v1:JNUX+07009156X+sp
U_8488500,C_course-v1:TsinghuaX+20250103X+sp
U_30910,C_course-v1:TsinghuaX+02070251X+sp
U_8389331,C_course-v1:TsinghuaX+34100325_X+sp
U_526416,C_course-v1:TsinghuaX+Pr20170406-SC_p1+sp
U_9484551,C_course-v1:TsinghuaX+30240184_2X+sp
U_4374499,C_course-v1:TsinghuaX+20250064+sp
U_1096189,C_course-v1:TsinghuaX+20220332X+sp
U_289420,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_6119410,C_course-v1:TsinghuaX+80515522X+sp
U_6821154,C_course-v1:TsinghuaX+Thesis2018+sp
U_7322240,C_course-v1:NBCC+031J33B00+sp
U_6669701,C_course-v1:TsinghuaX+20220053X_2015_T2+sp
U_6139063,C_course-v1:TsinghuaX+20220053X_2015_T2+sp
U_8192214,C_course-v1:AdelaideX+Wine101x+sp
U_10678657,C_course-v1:TsinghuaX+00612642X+sp
U_8122233,C_course-v1:WUT+1022817X+sp
U_750043,C_course-v1:TsinghuaX+34100325_X+sp
U_6879577,C_course-v1:TsinghuaX+Pr20170406-SC_p1+sp
U_9066955,C_course-v1:SPI+20170828001x+sp
U_8484863,C_course-v1:TsinghuaX+00740043X_2015_T2+sp
U_88735,C_course-v1:TsinghuaX+04000083+2019_T1
U_4522051,C_course-v1:TsinghuaX+00690212X+sp
U_7801079,C_course-v1:MITx+6_00_1x+sp
U_6647704,C_course-v1:BIT+PHY1701701+sp
U_8577991,C_course-v1:MITx+15_390_2x+sp
U_10118094,C_course-v1:TsinghuaX+30700313X+2019_T1
U_2799172,C_course-v1:TsinghuaX+30240184_2X+sp
U_1884081,C_course-v1:TsinghuaX+60700052X+2019_T1
U_9383008,C_course-v1:TsinghuaX+TSINGHUA107+sp
U_4177953,C_course-v1:TsinghuaX+10430484X_2015_2+sp
U_7212408,C_course-v1:TsinghuaX+00612642X+sp
U_544554,C_course-v1:TsinghuaX+10610224X+sp
U_6392446,C_course-v1:TsinghuaX+60240013X+sp
U_4442398,C_course-v1:TsinghuaX+00310222X+sp
U_200765,C_course-v1:TsinghuaX+20740084X+2019_T1
U_10685825,C_course-v1:TsinghuaX+00691153X+2019_T1
U_9222343,C_course-v1:TsinghuaX+40050455X+sp
U_5105033,C_course-v1:TsinghuaX+AP000001X+2019_T1
U_240683,C_course-v1:LinuxFoundationX+Linux001+sp
U_744018,C_course-v1:TsinghuaX+10421075X_2015_2+sp
U_8034620,C_course-v1:TsinghuaX+40050455X+sp
U_6835700,C_course-v1:SCUT+145055+sp
U_8095463,C_course-v1:TsinghuaX+81020142X+sp
U_2933719,C_course-v1:TsinghuaX+20220053X_2015_T2+sp
U_8075550,C_course-v1:TsinghuaX+00690092X+sp
U_7001215,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp
U_7423998,C_course-v1:TsinghuaX+30240184_2X+sp
U_7594103,C_course-v1:TsinghuaX+30240184+sp
U_3234246,C_course-v1:TsinghuaX+00740123_X+sp
U_3234249,C_course-v1:TsinghuaX+30640014X+2019_T1
U_9364708,C_course-v1:TsinghuaX+AP000016X+2019_T1
U_6978915,C_course-v1:TsinghuaX+10610224X+sp
U_7726028,C_course-v1:TsinghuaX+10610193X+sp
U_6643176,C_course-v1:TsinghuaX+30240243X+sp
U_10521268,C_course-v1:TsinghuaX+30240243X+sp
U_8155641,C_course-v1:TsinghuaX+20220214X+2019_T1
U_7973418,C_course-v1:KMUSTX+8209001+sp
U_8402071,C_course-v1:MIL+MIL2016001+sp
U_10566467,C_course-v1:BIT+100070018+2019_T1
U_1119491,C_course-v1:UQx+Crime101x+sp
U_6672408,C_course-v1:TsinghuaX+20140064X+2018_sp
U_10567675,C_course-v1:TsinghuaX+00612642X+sp
U_6767785,C_course-v1:TsinghuaX+10430484X_2015_2+sp
U_6819855,C_course-v1:SCUEC+0171229001+sp
U_9224909,C_course-v1:TsinghuaX+10430494X_2015_2+sp
U_8035216,C_course-v1:TsinghuaX+81020142X+sp
U_8095750,C_course-v1:TsinghuaX+00740043X_2015_T2+sp
U_7144183,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp
U_651188,C_course-v1:MITx+6_00_1x+sp
U_6435302,C_course-v1:TsinghuaX+10421075X_2015_2+sp
U_7794432,C_course-v1:Tsinghua+20150001+sp
U_7153841,C_course-v1:TsinghuaX+10430494X_2015_2+sp
U_679343,C_course-v1:TsinghuaX+20220332X+sp
U_9436936,C_course-v1:JXUST+JXUST2016001+2016_T2
U_8749378,C_course-v1:TsinghuaX+30640014X+sp
U_2498484,C_course-v1:BerkeleyX+CS169_1X+sp
U_3050431,C_course-v1:TsinghuaX+30240184_2X+sp
U_5533787,C_course-v1:TsinghuaX+10421075X_2015_2+sp
U_7073440,C_course-v1:UST+UST001+sp
U_10220066,C_course-v1:TsinghuaX+AP000016X+2019_T1
U_9172435,C_course-v1:TsinghuaX+Thesis2016X+sp
U_1185402,C_course-v1:TsinghuaX+10610224X+sp
U_7372005,C_course-v1:TsinghuaX+20350033X+sp
U_8493282,C_course-v1:TsinghuaX+80000271X+sp
U_25454,C_course-v1:TsinghuaX+20250103X+sp
U_10634434,C_course-v1:TsinghuaX+70000662+2019_T1
U_10599321,C_course-v1:TsinghuaX+2018032801X+2018_T1
U_7581972,C_course-v1:TsinghuaX+20120143X+sp
U_7089104,C_course-v1:TsinghuaX+THU201605X+sp
U_6711784,C_course-v1:TsinghuaX+THESIS2015X_tv+2015_T1
U_8247393,C_course-v1:TsinghuaX+80000901X_2+sp
U_4339543,C_course-v1:TsinghuaX+30150303X+sp
U_7085733,C_course-v1:TsinghuaX+00690092X+sp
U_5309889,C_course-v1:TsinghuaX+30240243X+sp
U_262457,C_course-v1:HIT+HIT2016001+sp
U_382086,C_course-v1:PSFFC+2018102405X+2018_T2
U_1230579,C_course-v1:TsinghuaX+30240184+sp
U_362989,C_course-v1:TsinghuaX+10430494X_2015_2+sp
U_10525039,C_course-v1:TsinghuaX+00690863X+sp
U_7428953,C_course-v1:TsinghuaX+30240243X+sp
U_7026568,C_course-v1:NBCC+NBCC000201+_sp
U_2936201,C_course-v1:TsinghuaX+30240184+sp
U_4441492,C_course-v1:TsinghuaX+2018031601X+2019_T1
U_4441496,C_course-v1:TsinghuaX+10421084X_2015_2+sp
U_4441498,C_course-v1:TsinghuaX+30240184+sp
U_8384432,C_course-v1:BJTU+2017072501X+sp
U_7807563,C_course-v1:TsinghuaX+20220214X+2019_T1
U_8877819,C_course-v1:TsinghuaX+20250064+sp
U_2937051,C_course-v1:TsinghuaX+00740123_X+sp
U_8568104,C_course-v1:TsinghuaX+80515522X+sp
U_9987152,C_course-v1:CSU+20180918X+2018_T2
U_7780733,C_course-v1:TsinghuaX+00690092X+sp
U_10770703,C_course-v1:TsinghuaX+30640014X+sp
U_8455193,C_course-v1:NUDT+125205501+sp
U_993552,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp
U_2528888,C_course-v1:RiceX+AdvBIO_1x+sp
U_467043,C_course-v1:TsinghuaX+20330334X_2015_2+sp
U_4442340,C_course-v1:TsinghuaX+20440333X+sp
U_9563758,C_course-v1:TsinghuaX+34000888X+sp
U_7101780,C_course-v1:TsinghuaX+00740043X_2015_T2+sp
U_7657575,C_course-v1:TsinghuaX+20250064+sp
U_8825296,C_course-v1:TsinghuaX+20330334X_2015_2+sp
U_7080387,C_course-v1:TsinghuaX+10430484X_2015_2+sp
U_1547033,C_course-v1:TsinghuaX+80611322X+sp
U_7634612,C_course-v1:TsinghuaX+20250103X+sp
U_7098347,C_course-v1:TsinghuaX+70240403+2019_T1
U_3692181,C_course-v1:TsinghuaX+00740043X_2015_T2+sp
U_6588117,C_course-v1:TsinghuaX+10421094X_2015_2+sp
U_8527234,C_course-v1:GZHU+136300904+sp
U_505776,C_course-v1:TsinghuaX+THESIS2015X+2015_T1
U_657838,C_course-v1:TsinghuaX+00720091X+sp
U_2383401,C_course-v1:TsinghuaX+70150023X+sp
U_464270,C_course-v1:UQx+Think101x+sp
U_4461134,C_course-v1:TsinghuaX+80000271X+sp
U_6554552,C_course-v1:TsinghuaX+MOOC101_2015_2+sp
U_9767221,C_course-v1:TsinghuaX+70167012X+sp
U_9589969,C_course-v1:TsinghuaX+AP000013X+2019_T1
U_8164249,C_course-v1:TsinghuaX+30240184+sp
U_8020637,C_course-v1:TsinghuaX+30700313X+sp
U_207553,C_course-v1:TsinghuaX+30640014X+sp
U_6448791,C_course-v1:TsinghuaX+00740043X_2015_T2+sp
U_10599397,C_course-v1:TsinghuaX+00740043_1x+2019_T1
U_9112846,C_course-v1:TsinghuaX+00612642X+sp
U_10143270,C_course-v1:LinuxFoundationX+Linux001+sp
U_448238,C_course-v1:TsinghuaX+00690863X+sp
U_409035,C_course-v1:TsinghuaX+60700052X+2019_T1
U_2967444,C_course-v1:TsinghuaX+70612463X+sp
U_7060040,C_course-v1:TsinghuaX+0350161X_2015_T2+sp
U_9112112,C_course-v1:TsinghuaX+30640014X+sp
U_4551060,C_course-v1:TsinghuaX+Pr20170406-SC_p1+sp
U_10363027,C_course-v1:TsinghuaX+00740043_1x+2019_T1
U_8094496,C_course-v1:MIL+MIL2016001+sp
U_9657153,C_course-v1:TsinghuaX+10421075X_2015_2+sp
U_8000912,C_course-v1:UESTC+2017071301X+sp
U_646367,C_course-v1:ACCA+FA2_X+sp
U_2910245,C_course-v1:TsinghuaX+30240184+sp
U_5986865,C_course-v1:TsinghuaX+0350161X_2015_T2+sp
U_4441560,C_course-v1:TsinghuaX+2018031601X+2019_T1
U_4441565,C_course-v1:TsinghuaX+30240243X+sp
U_2490085,C_course-v1:TsinghuaX+30240184+sp
U_252357,C_course-v1:TsinghuaX+Thesis2018+sp
U_7634174,C_course-v1:TsinghuaX+10421094X_2015_2+sp
U_7591443,C_course-v1:TsinghuaX+Pr20170406-SC_p1+sp
U_10485290,C_course-v1:CQU+MATH20041X+2019_T1
U_9915731,C_course-v1:TsinghuaX+30240243X+sp
U_9809319,C_course-v1:CSU+210201T10+sp
U_6981549,C_course-v1:TsinghuaX+20220332X+sp
U_2855215,C_course-v1:ZJUX+2017011101X+2017_T1
U_8090415,C_course-v1:TsinghuaX+00690342X+sp
U_7064616,C_course-v1:TsinghuaX+00612643X+sp
U_8402113,C_course-v1:XJTU+COMP200853+sp
U_10653976,C_course-v1:SCUT+145033+sp
U_791468,C_course-v1:Tsinghua+Thesis2017X+2017_T1
U_187202,C_course-v1:TsinghuaX+80000901X_1+sp
U_8151984,C_course-v1:TsinghuaX+10421102x_2015_T2+sp
U_10583971,C_course-v1:TsinghuaX+00612642X+sp
U_10362769,C_course-v1:TsinghuaX+20220332X+2019_T1
U_6899330,C_course-v1:TsinghuaX+80515522X+sp
U_3714914,C_course-v1:TsinghuaX+20330334X_2015_2+sp
U_241824,C_course-v1:TsinghuaX+00690242+sp
U_8875745,C_course-v1:TsinghuaX+10620204X+2019_T1
U_9321882,C_course-v1:TsinghuaX+44100343X+2019_T1
U_8394469,C_course-v1:TsinghuaX+30240184_2X+sp
U_5311670,C_course-v1:TsinghuaX+10610193X+sp
U_9345802,C_course-v1:TsinghuaX+20150001+2019_T1
U_710406,C_course-v1:TsinghuaX+30240184_2X+sp
U_10243573,C_course-v1:TsinghuaX+30130274X+2019_T1
U_1540134,C_course-v1:TsinghuaX+20250103X+sp
U_8862657,C_course-v1:TsinghuaX+30240184+sp
U_6190684,C_course-v1:SCUT+145033+sp
U_10094023,C_course-v1:TsinghuaX+00701032X+sp
U_1478068,C_course-v1:TsinghuaX+80515522X+sp
U_7323537,C_course-v1:TsinghuaX+10430494X_2015_2+sp
U_8798003,C_course-v1:XJTU+COMP200853+sp
U_8863404,C_course-v1:TsinghuaX+JRFX01+2019_T1
U_7845196,C_course-v1:TsinghuaX+20430064X+sp
U_482232,C_course-v1:TsinghuaX+30700313X+sp
U_1135920,C_course-v1:TsinghuaX+20120143X+sp
U_422086,C_course-v1:TsinghuaX+00691153X+2019_T1
U_10388097,C_course-v1:TsinghuaX+10610224X+sp
U_1829209,C_course-v1:FUDANx+SOSC120007+2019_T1
U_2991691,C_course-v1:TsinghuaX+02070251X+sp
U_10560019,C_course-v1:TsinghuaX+04000083+2019_T1
U_697558,C_course-v1:TsinghuaX+20350033X+sp
U_7672876,C_course-v1:TsinghuaX+30640014X+sp
U_6819937,C_course-v1:TsinghuaX+00612642X+sp
U_8887211,C_course-v1:TsinghuaX+10430484X_2015_2+sp
U_6281829,C_course-v1:TsinghuaX+20430064X+sp
U_7781910,C_course-v1:TsinghuaX+THU201605X+sp
U_20384,C_course-v1:TsinghuaX+00680082X+sp
U_725891,C_course-v1:MicrosoftX+Microsoft101+sp
U_9017457,C_course-v1:TsinghuaX+00612642X+sp
U_9017454,C_course-v1:TsinghuaX+AP000015X+2019_T1
U_10810671,C_course-v1:GZHU+000001004+sp
U_160094,C_course-v1:TsinghuaX+00690092X+sp
U_2839509,C_course-v1:TsinghuaX+80000901X_1+sp
U_6435008,C_course-v1:TsinghuaX+20250103X+sp
U_2978239,C_course-v1:TsinghuaX+60240013X+sp
U_1046099,C_course-v1:WHUT+20171128+sp
U_7148892,C_course-v1:HEBNU+2017011901X+sp
U_8769469,C_course-v1:TsinghuaX+80515522X+sp
U_413950,C_course-v1:TsinghuaX+10421084X_2015_2+sp
U_9679076,C_course-v1:NJU+C1026+2016_T2
U_1092263,C_course-v1:TsinghuaX+30240184_2X+sp
U_9076052,C_course-v1:TsinghuaX+90640012X+sp
U_8424002,C_course-v1:MIL+MIL2016001+sp
U_4297762,C_course-v1:TsinghuaX+40260173X+2019_T1
U_650313,C_course-v1:TsinghuaX+70150023X+sp
U_4465729,C_course-v1:TsinghuaX+30240243X+sp
U_8108781,C_course-v1:TsinghuaX+10421094X_2015_2+sp
U_132420,C_course-v1:TsinghuaX+30240243X+sp
U_4583353,C_course-v1:MITx+6_00_1x+sp
U_9824618,C_course-v1:TsinghuaX+30240184+sp
U_8454332,C_course-v1:TsinghuaX+00740043X_2015_T2+sp
U_3079450,C_course-v1:TsinghuaX+30240184+sp
U_9309184,C_course-v1:XJTU+COMP200853+sp
U_260192,C_course-v1:ZUELX+B0800280+sp
U_672027,C_course-v1:TsinghuaX+20220053X_2015_T2+sp
U_10577881,C_course-v1:TsinghuaX+20220332X+sp
U_757588,C_course-v1:TsinghuaX+30240184+sp
U_2809258,C_course-v1:TsinghuaX+30240184+sp
U_1651742,C_course-v1:TsinghuaX+10610183_2X+2019_T1
U_2297829,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp
U_8098810,C_course-v1:HUBU+HU08003X+sp
U_8030354,C_course-v1:TsinghuaX+00740113_1X+sp
U_639571,C_course-v1:Tsinghuax+30130123X+sp
U_8747865,C_course-v1:TsinghuaX+00690863X+sp
U_546944,C_course-v1:TsinghuaX+00612642X+sp
U_318951,C_course-v1:TsinghuaX+TSINGHUA107+sp
U_9974853,C_course-v1:TsinghuaX+00740043X_2015_T2+sp
U_268801,C_course-v1:TsinghuaX+00690212X+sp
U_7053123,C_course-v1:TsinghuaX+10421075X_2015_2+sp
U_4418446,C_course-v1:TsinghuaX+10610224X+2019_T1
U_7651790,C_course-v1:SCUEC+0171229001+sp
U_7651791,C_course-v1:TsinghuaX+30240184+sp
U_7132220,C_course-v1:BIT+100070018+2019_T2
U_9316811,C_course-v1:TsinghuaX+30240184_2X+sp
U_421995,C_course-v1:TsinghuaX+00740043X_2015_T2+sp
U_5316084,C_course-v1:TsinghuaX+80000822X+sp
U_156554,C_course-v1:FUDANx+ECON1300812+sp
U_11591759,C_course-v1:XJTU+C00204+2019_T1
U_6074534,C_course-v1:MIL+MIL2016001+sp
U_3707692,C_course-v1:TsinghuaX+70150023X+sp
U_10580672,C_course-v1:KMUSTX+1193004+2019_T1
U_1897309,C_course-v1:TsinghuaX+10610193X+2019_T1
U_2603850,C_course-v1:TsinghuaX+30240184_2X+sp
U_311294,C_course-v1:KMUSTX+8209001+sp
U_10250928,C_course-v1:TsinghuaX+THU201606X+2019_T1
U_657917,C_course-v1:TsinghuaX+10421084X_2015_2+sp
U_65946,C_course-v1:SCUT+SM001+2019_T1
U_8032095,C_course-v1:TsinghuaX+00740043X_2015_T2+sp
U_2904607,C_course-v1:TsinghuaX+20220053X_2015_T2+sp
U_8482053,C_course-v1:TsinghuaX+20250064X+sp
U_8482059,C_course-v1:TsinghuaX+00701032X+sp
U_627085,C_course-v1:NJU+C1026+2016_T2
U_9413141,C_course-v1:TsinghuaX+20220332X+sp
U_3057725,C_course-v1:TsinghuaX+30240184+sp
U_10888558,C_course-v1:SCUT+2018122802X+2018_T2
U_8483681,C_course-v1:TsinghuaX+00690092X+sp
U_7665142,C_course-v1:SCUT+145223+2019_T1
U_9013896,C_course-v1:TsinghuaX+20330334X_2015_2+sp
U_4440636,C_course-v1:TsinghuaX+40050444X+2019_T1
U_9466672,C_course-v1:TsinghuaX+00690092X+sp
U_10800885,C_course-v1:cup+20180130+sp
U_7067716,C_course-v1:JNUX+07009156X+sp
U_10281850,C_course-v1:CSU+2018020201X+sp
